,Departamento,Capital,Barrio,long,lat
0,MAGDALENA,SANTA MARTA (CT),OLIVO,-74.2055606,11.2422289
5,MAGDALENA,SANTA MARTA (CT),CENTRO,-74.2055606,11.2422289
10,MAGDALENA,SANTA MARTA (CT),TAGANGA,-74.1908151,11.268184
12,MAGDALENA,SANTA MARTA (CT),BAVARIA,-74.16381853254086,11.2261979
25,MAGDALENA,SANTA MARTA (CT),MAMATOCO,-74.1641125,11.232685400000001
27,MAGDALENA,SANTA MARTA (CT),BASTIDAS,-74.21643320000001,11.238133900000001
28,MAGDALENA,SANTA MARTA (CT),POSTOBON,-74.1902637449336,11.23377045
44,MAGDALENA,SANTA MARTA (CT),SANTA ANA,-74.2055606,11.2422289
58,MAGDALENA,SANTA MARTA (CT),CURINCA,-74.18867527444813,11.21206285
59,MAGDALENA,SANTA MARTA (CT),BELLA VISTA,-74.2055606,11.2422289
60,MAGDALENA,SANTA MARTA (CT),EL MANGO,-74.2055606,11.2422289
62,MAGDALENA,SANTA MARTA (CT),PARQUE TAIRONA,-74.1541046,11.259302400000001
63,MAGDALENA,SANTA MARTA (CT),BUENAVISTA,-74.1727569316625,11.22705525
71,MAGDALENA,SANTA MARTA (CT),UNIVERSIDAD DEL MAGDALENA,-74.18552489288409,11.2236693
73,MAGDALENA,SANTA MARTA (CT),VILLAS DE ALEJANDRIA,-74.20237406168074,11.22667135
83,MAGDALENA,SANTA MARTA (CT),EL PRADO,-74.2055606,11.2422289
104,MAGDALENA,SANTA MARTA (CT),SAN JORGE,-74.2122735,11.246978
123,MAGDALENA,SANTA MARTA (CT),SIMON BOLIVAR,-74.1787235,11.2278623
144,MAGDALENA,SANTA MARTA (CT),ZIRUMA,-74.21593349999999,11.213975999999999
146,MAGDALENA,SANTA MARTA (CT),PORTAL DE LAS AVENIDAS,-74.17610814009836,11.22408775
151,MAGDALENA,SANTA MARTA (CT),SILVIA ROSA,-74.19906278778866,11.23312075
169,MAGDALENA,SANTA MARTA (CT),URBANIZACION EL RIO,-74.19698099418704,11.23188375
176,MAGDALENA,SANTA MARTA (CT),PORVENIR,-74.21377757587464,11.243405699999999
192,MAGDALENA,SANTA MARTA (CT),SAN PABLO,-74.21482501617984,11.2218514
196,MAGDALENA,SANTA MARTA (CT),VISTA DEL MAR,-74.2055606,11.2422289
204,MAGDALENA,SANTA MARTA (CT),RECREO,-74.2055606,11.2422289
206,MAGDALENA,SANTA MARTA (CT),TIMAYUI,-74.15109392940619,11.2342531
222,MAGDALENA,SANTA MARTA (CT),OASIS,-74.2055606,11.2422289
251,MAGDALENA,SANTA MARTA (CT),LOS NOGALES,-74.2055606,11.2422289
274,MAGDALENA,SANTA MARTA (CT),PORTAL UNIVERSITARIO,-74.18976440000002,11.225994300000002
283,MAGDALENA,SANTA MARTA (CT),EL RECREO,-74.2055606,11.2422289
288,MAGDALENA,SANTA MARTA (CT),CIUDAD LA EQUIDAD,-74.16683817029372,11.20455025
298,MAGDALENA,SANTA MARTA (CT),URBANIZACION CANARIAS,-74.17248504195099,11.22344595
339,MAGDALENA,SANTA MARTA (CT),URB.NEVADA,-74.17186740000001,11.2209041
343,MAGDALENA,SANTA MARTA (CT),CIUDAD CAMPESTRE EL NOGAL,-74.17101527444011,11.2180093
356,MAGDALENA,SANTA MARTA (CT),EL CARMEN,-74.2055606,11.2422289
365,MAGDALENA,SANTA MARTA (CT),EL PORVENIR,-74.21377757587464,11.243405699999999
